impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_out_rel_l2,err_rel_max_norm,err_max_rel_elem
fused_broadcast,fp16,16,2048,8192,128,0.4608256071805954,0.0006592307022247145,0.36989120244979856,0.10293760001659394,447.367565941724,inf,inf,inf
eager,fp16,32,2048,8192,128,1.3159168124198914,0.007148156237240093,1.3123584032058715,0.40008960366249086,313.33049059368295,inf,inf,inf
fused_single,fp16,32,2048,8192,128,1.7301663994789123,0.008512051428896996,1.2682976126670837,0.39908799827098845,238.31052350813232,inf,inf,inf
fused_batched,fp16,32,2048,8192,128,1.206387209892273,0.0025870175444618853,0.8169599950313569,0.40000960528850554,341.77820938007017,inf,inf,inf
fused_broadcast,fp16,32,2048,8192,128,0.9799584031105042,0.0008954922435425687,0.8268383920192719,0.22175999730825424,420.7493492654968,inf,inf,inf
eager,fp16,1,2048,8192,512,0.1299711987376213,0.0018130312673196244,0.13437120020389556,0.044896000251173976,396.5463737550449,inf,inf,inf
fused_single,fp16,1,2048,8192,512,0.1595775991678238,0.001573671164383615,0.12297919988632203,0.04408640004694462,322.9752034168472,inf,inf,inf
eager,fp16,2,2048,8192,512,0.2493599995970726,0.001100296224429515,0.24880000054836274,0.07452800050377846,413.3751013416753,inf,inf,inf
fused_single,fp16,2,2048,8192,512,0.3078304022550583,0.0017778557621268886,0.2298784002661705,0.07092159986495972,334.85716273921474,inf,inf,inf
fused_batched,fp16,2,2048,8192,512,0.2779487997293472,0.0008729047714976863,0.21927679777145387,0.07116480022668839,370.8568455930496,inf,inf,inf
fused_broadcast,fp16,2,2048,8192,512,0.2786943942308426,0.0008635110714204732,0.21910079717636108,0.06881279945373535,369.86468776483343,inf,inf,inf
eager,fp16,4,2048,8192,512,0.42219520211219785,0.0016612135976506524,0.4108991980552673,0.11692479997873306,488.30121511710985,inf,inf,inf
fused_single,fp16,4,2048,8192,512,0.5330207943916321,0.0014249867371321095,0.4021024018526077,0.11410240009427071,386.77371010131174,inf,inf,inf
fused_batched,fp16,4,2048,8192,512,0.46396799981594083,0.0009426511381531242,0.3654688000679016,0.11435200050473213,444.337605804246,inf,inf,inf
fused_broadcast,fp16,4,2048,8192,512,0.4570656031370163,0.0008465161866100053,0.36248639822006223,0.10833919867873192,451.0477900613298,inf,inf,inf
eager,fp16,8,2048,8192,512,0.7517599999904633,0.002676342543187414,0.7510079979896546,0.20670719891786576,548.4687405837376,inf,inf,inf
fused_single,fp16,8,2048,8192,512,1.0640223979949952,0.006422447015186069,0.7987167954444885,0.21450559943914413,387.50768892925066,inf,inf,inf
fused_batched,fp16,8,2048,8192,512,0.956467193365097,0.0015684085425643913,0.7561632037162781,0.2204927995800972,431.0831184552849,inf,inf,inf
fused_broadcast,fp16,8,2048,8192,512,0.9611008048057557,0.0014318039505266027,0.7586944103240967,0.21489279866218566,429.00480194617234,inf,inf,inf
eager,fp16,16,2048,8192,512,1.567027199268341,0.020341306298228636,1.6134463787078857,0.4425984025001526,526.2408471384726,inf,inf,inf
fused_single,fp16,16,2048,8192,512,2.16768000125885,0.04085032338840331,1.6148767948150635,0.4040479987859726,380.42225806074026,inf,inf,inf
fused_batched,fp16,16,2048,8192,512,1.7421375870704652,0.00995128886207824,1.4605184078216553,0.41438719928264617,473.3459210983923,inf,inf,inf
fused_broadcast,fp16,16,2048,8192,512,1.860262393951416,0.01033520489731482,1.4894527792930603,0.41468480229377747,443.288927149885,inf,inf,inf
eager,fp16,32,2048,8192,512,3.104582405090332,0.03629446708219836,3.3761919736862183,0.8999264121055603,531.2364841596183,inf,inf,inf
fused_single,fp16,32,2048,8192,512,4.233699226379395,0.07676400120417601,3.1388255834579466,0.7876287996768951,389.55706427790625,inf,inf,inf
fused_batched,fp16,32,2048,8192,512,3.616624045372009,0.20140669623708138,3.0034687757492065,0.8197823941707612,456.0240215663209,inf,inf,inf
fused_broadcast,fp16,32,2048,8192,512,3.6910496234893797,0.06447245946549864,3.0025280475616456,0.8281247973442077,446.82884542333636,inf,inf,inf
eager,fp16,1,2048,8192,2048,0.4288640022277832,0.0021642518057444194,0.4255647987127304,0.11832320094108581,480.7081712083234,inf,inf,inf
fused_single,fp16,1,2048,8192,2048,0.5049728035926819,0.0010030327742003731,0.398224002122879,0.11882559955120087,408.2565016200165,inf,inf,inf
eager,fp16,2,2048,8192,2048,0.7986720025539398,0.02016620930662289,0.7824479937553406,0.21727999895811081,516.2530539414438,inf,inf,inf
fused_single,fp16,2,2048,8192,2048,1.0225824117660522,0.004054659399931437,0.753574401140213,0.21205440014600754,403.21137511441026,inf,inf,inf
fused_batched,fp16,2,2048,8192,2048,0.9337984085083008,0.0010167302558356896,0.7345280051231384,0.21022080034017562,441.54804362395186,inf,inf,inf
fused_broadcast,fp16,2,2048,8192,2048,0.9241887986660003,0.0009905010065861118,0.7271935999393463,0.20746879875659943,446.13920987913895,inf,inf,inf
eager,fp16,4,2048,8192,2048,1.475171184539795,0.023883521684362526,1.553772795200348,0.42026880085468293,559.0088319744793,inf,inf,inf
fused_single,fp16,4,2048,8192,2048,2.045795178413391,0.0013384553762336602,1.5322399973869323,0.41396160125732423,403.08713674432533,inf,inf,inf
fused_batched,fp16,4,2048,8192,2048,1.8227712035179138,0.007488596749314731,1.4458720088005066,0.4046463996171951,452.4065989414758,inf,inf,inf
fused_broadcast,fp16,4,2048,8192,2048,1.8189727902412414,0.0014002576003778672,1.4315199851989746,0.397801598906517,453.3513229313523,inf,inf,inf
